value,empirico,diffTon,diffPer,L2,L1,years
398.49,446.289,-47.799,-10.71032448,B.Desovante,Data 1,1977
371.938,419.898,-47.96,-11.42182149,B.Desovante,Data 1,1978
326.064,374.399,-48.335,-12.9100238,B.Desovante,Data 1,1979
298.845,344.774,-45.929,-13.32148016,B.Desovante,Data 1,1980
277.576,321.163,-43.587,-13.57161317,B.Desovante,Data 1,1981
254.079,294.928,-40.849,-13.8504991,B.Desovante,Data 1,1982
268.458,306.552,-38.094,-12.42660299,B.Desovante,Data 1,1983
256.334,293.438,-37.104,-12.64457909,B.Desovante,Data 1,1984
249.059,284.605,-35.546,-12.48959084,B.Desovante,Data 1,1985
262.201,294.646,-32.445,-11.01151891,B.Desovante,Data 1,1986
224.941,253.038,-28.097,-11.10386582,B.Desovante,Data 1,1987
199.418,223.008,-23.59,-10.57809585,B.Desovante,Data 1,1988
160.623,180.6,-19.977,-11.06146179,B.Desovante,Data 1,1989
164.059,181.563,-17.504,-9.640730766,B.Desovante,Data 1,1990
136.65,154.259,-17.609,-11.41521726,B.Desovante,Data 1,1991
113.48,130.133,-16.653,-12.79690778,B.Desovante,Data 1,1992
111.336,128.159,-16.823,-13.12666297,B.Desovante,Data 1,1993
105.186,121.702,-16.516,-13.5708534,B.Desovante,Data 1,1994
128.25,147.556,-19.306,-13.08384613,B.Desovante,Data 1,1995
121.802,142.537,-20.735,-14.54710005,B.Desovante,Data 1,1996
130.652,154.227,-23.575,-15.28590973,B.Desovante,Data 1,1997
119.297,143.347,-24.05,-16.77747006,B.Desovante,Data 1,1998
123.059,150.328,-27.269,-18.13966793,B.Desovante,Data 1,1999
111.27,139.803,-28.533,-20.40943327,B.Desovante,Data 1,2000
89.9068,115.749,-25.8422,-22.32606761,B.Desovante,Data 1,2001
123.734,156.034,-32.3,-20.70061653,B.Desovante,Data 1,2002
120.211,151.865,-31.654,-20.84351233,B.Desovante,Data 1,2003
115.675,146.325,-30.65,-20.94652315,B.Desovante,Data 1,2004
112.266,142.686,-30.42,-21.31954081,B.Desovante,Data 1,2005
109.154,139.203,-30.049,-21.58646006,B.Desovante,Data 1,2006
106.15,135.451,-29.301,-21.63217695,B.Desovante,Data 1,2007
103.254,131.2,-27.946,-21.30030488,B.Desovante,Data 1,2008
100.332,127.043,-26.711,-21.02516471,B.Desovante,Data 1,2009
97.8901,123.434,-25.5439,-20.69437918,B.Desovante,Data 1,2010
97.6663,121.935,-24.2687,-19.9029811,B.Desovante,Data 1,2011
96.9653,119.154,-22.1887,-18.6218675,B.Desovante,Data 1,2012
96.3307,115.655,-19.3243,-16.70857291,B.Desovante,Data 1,2013
100.29,118.495,-18.205,-15.36351745,B.Desovante,Data 1,2014
954.994,926.204,28.79,3.108386489,B.Total,Data 1,1977
951.386,922.603,28.783,3.11976007,B.Total,Data 1,1978
903.491,873.924,29.567,3.38324614,B.Total,Data 1,1979
864.806,830.442,34.364,4.138037334,B.Total,Data 1,1980
841.964,803.056,38.908,4.84499213,B.Total,Data 1,1981
815.606,772.971,42.635,5.515730862,B.Total,Data 1,1982
783.32,738.565,44.755,6.059723924,B.Total,Data 1,1983
765.748,721.036,44.712,6.201077339,B.Total,Data 1,1984
744.367,701.357,43.01,6.132397623,B.Total,Data 1,1985
722.842,681.681,41.161,6.038161545,B.Total,Data 1,1986
690.808,650.705,40.103,6.163007815,B.Total,Data 1,1987
646.107,604.5,41.607,6.882878412,B.Total,Data 1,1988
591.525,550.114,41.411,7.527712438,B.Total,Data 1,1989
553.581,514.69,38.891,7.556198877,B.Total,Data 1,1990
525.965,489.81,36.155,7.381433617,B.Total,Data 1,1991
513.921,481.997,31.924,6.623277738,B.Total,Data 1,1992
503.42,477.424,25.996,5.445055129,B.Total,Data 1,1993
509.376,490.154,19.222,3.921624632,B.Total,Data 1,1994
511.508,499.531,11.977,2.397648995,B.Total,Data 1,1995
511.269,507.339,3.93,0.774629981,B.Total,Data 1,1996
511.905,516.026,-4.121,-0.798603171,B.Total,Data 1,1997
512.686,523.14,-10.454,-1.99831785,B.Total,Data 1,1998
511.279,527.681,-16.402,-3.108317336,B.Total,Data 1,1999
504.742,527.698,-22.956,-4.350215464,B.Total,Data 1,2000
495.443,524.036,-28.593,-5.456304529,B.Total,Data 1,2001
486.83,516.124,-29.294,-5.675767839,B.Total,Data 1,2002
476.988,507.737,-30.749,-6.056088093,B.Total,Data 1,2003
